data:text/csv;charset=utf-8,
year,occupation_family,occupation_group,average_age,average_wage,wage,jobs,average_establishment_size,color,icon,ID CBO
2003,"Técnicos em Farmácia","Técnicos de Nível Médio",39,713.5,725632.1,1017,7,"#D66011","/static/img/icons/occupation_group/occupation_group_3.png","3251"
2003,"Dirigentes de Organizações sem Fins Lucrativos","Dirigentes",41,1778.21,3757375.67,2113,14,"#752277","/static/img/icons/occupation_group/occupation_group_1.png","1144"
2003,"Camareiros e Roupeiros","Trabalhadores de Serviços e Comércio",39,375.32,110721.9,295,9,"#17BCEF","/static/img/icons/occupation_group/occupation_group_5.png","5133"
2003,"Analistas Econômico-Financeiros","Profissionais das Ciências e das Artes",40,6729.01,5477414.2,814,22,"#CC0000","/static/img/icons/occupation_group/occupation_group_2.png","2525"
2003,"Operadores de Veículos Sobre Trilhos e Cabos","Trabalhadores Especializados da Produção",49,847.31,534654.89,631,8,"#9EDAE5","/static/img/icons/occupation_group/occupation_group_7.png","7826"
2003,"Técnicos em Serviços Bancários","Técnicos de Nível Médio",39,1250.01,733756.72,587,1,"#D66011","/static/img/icons/occupation_group/occupation_group_3.png","3532"
2003,"Padeiros e Confeiteiros","Trabalhadores da Indústria",41,561.1,361353.94,644,2,"#FFC41C","/static/img/icons/occupation_group/occupation_group_8.png","8483"
2003,"Pescadores Profissionais de Água Doce","Trabalhadores Agropecuários, Florestais e da Pesca",37,255,1530.05,6,6,"#105B10","/static/img/icons/occupation_group/occupation_group_6.png","6311"
2003,"Gerentes de Comercialização e Marketing","Dirigentes",43,1322.72,378299.73,286,2,"#752277","/static/img/icons/occupation_group/occupation_group_1.png","1423"
2003,"Tintureiros e Lavadeiros","Trabalhadores de Serviços e Comércio",43,436.36,469088.02,1075,4,"#17BCEF","/static/img/icons/occupation_group/occupation_group_5.png","5163"
2003,"Diretores de Suprimentos e Afins","Dirigentes",39,1075.09,233294.76,217,1,"#752277","/static/img/icons/occupation_group/occupation_group_1.png","1234"
2003,"Extrativistas de Madeira","Trabalhadores Agropecuários, Florestais e da Pesca",39,449.71,34178.18,76,1,"#105B10","/static/img/icons/occupation_group/occupation_group_6.png","6321"
2003,"Pesquisadores das Ciências da Agricultura","Profissionais das Ciências e das Artes",42,2383.04,235921.79,99,9,"#CC0000","/static/img/icons/occupation_group/occupation_group_2.png","2034"
2003,"Diretores de Operações em Armazenagem e Transporte","Dirigentes",43,2005.73,369054.82,184,2,"#752277","/static/img/icons/occupation_group/occupation_group_1.png","1226"
2003,"Técnicos em Obras de Infraestrutura","Técnicos de Nível Médio",43,1298.51,1599764.85,1232,5,"#D66011","/static/img/icons/occupation_group/occupation_group_3.png","3122"
2003,"Diretores de Operações em Intermediação Financeira","Dirigentes",44,1659.16,43138.29,26,1,"#752277","/static/img/icons/occupation_group/occupation_group_1.png","1227"
2003,"Técnicos em Turismo e Eventos","Técnicos de Nível Médio",37,903.1,540055.89,598,3,"#D66011","/static/img/icons/occupation_group/occupation_group_3.png","3548"
2003,"Montadores de Máquinas Industriais","Trabalhadores Especializados da Produção",47,1339.34,277245.43,207,3,"#9EDAE5","/static/img/icons/occupation_group/occupation_group_7.png","7252"
2003,"Artistas Visuais","Profissionais das Ciências e das Artes",46,1031.02,506233.01,491,3,"#CC0000","/static/img/icons/occupation_group/occupation_group_2.png","2624"
2003,"Trabalhadores Polivalentes da Confecção de Roupas","Trabalhadores Especializados da Produção",49,591.72,243200.29,411,3,"#9EDAE5","/static/img/icons/occupation_group/occupation_group_7.png","7630"
2003,"Engenheiros Mecânicos","Profissionais das Ciências e das Artes",43,2469.27,834615.53,338,4,"#CC0000","/static/img/icons/occupation_group/occupation_group_2.png","2144"
